Pacote,Tempo_ms,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Temp_MPU(C),Temp_BMP(C),Pressao(hPa),Altitude(m),Temp_SHT(C),Umidade_SHT(%),Temp_DS18B20(C)
1,2660,-1.31,-0.82,10.94,-0.00,-0.00,-0.03,28.89,27.85,974.47,328.01,27.54,53.18,27.56
2,3399,-1.31,-0.80,10.92,-0.00,-0.07,-0.07,29.01,27.80,974.40,328.55,27.54,53.11,27.56
3,4138,-1.33,-0.81,10.93,-0.00,0.00,-0.03,29.12,27.80,974.41,328.49,27.53,53.13,27.56
4,4877,-1.34,-0.81,10.93,0.00,-0.00,-0.03,29.18,27.80,974.42,328.44,27.53,53.14,27.50
5,5616,-1.35,-0.79,10.92,-0.00,-0.00,-0.03,29.22,27.80,974.42,328.39,27.53,53.16,27.56
6,6355,-1.34,-0.80,10.95,-0.00,-0.00,-0.03,29.27,27.80,974.43,328.35,27.56,53.18,27.56
7,7094,-1.34,-0.79,10.96,-0.00,-0.00,-0.03,29.29,27.80,974.44,328.26,27.53,53.19,27.56
8,7833,-1.32,-0.80,10.96,-0.00,0.00,-0.03,29.31,27.80,974.44,328.23,27.52,53.16,27.56
9,8572,-1.32,-0.80,10.91,-0.00,0.00,-0.03,29.34,27.80,974.45,328.19,27.53,53.16,27.56
10,9311,-1.33,-0.79,10.93,-0.00,0.00,-0.03,29.35,27.80,974.45,328.17,27.53,53.15,27.56
11,10050,-1.33,-0.79,10.95,-0.00,-0.00,-0.03,29.38,27.80,974.45,328.18,27.54,53.13,27.56
12,10789,-1.34,-0.82,10.94,-0.00,-0.00,-0.03,29.41,27.80,974.45,328.15,27.52,53.15,27.56
13,11528,-1.35,-0.81,10.96,-0.00,0.00,-0.03,29.41,27.80,974.45,328.12,27.52,53.16,27.56
14,12267,-1.34,-0.80,10.93,-0.00,0.00,-0.03,29.43,27.80,974.46,328.09,27.54,53.15,27.56
15,13006,-1.33,-0.80,10.97,-0.00,0.00,-0.03,29.43,27.80,974.47,328.03,27.52,53.15,27.56
16,13745,-1.32,-0.79,10.93,-0.00,-0.00,-0.03,29.46,27.80,974.47,328.02,27.52,53.15,27.62
17,14484,-1.34,-0.81,10.94,-0.00,0.00,-0.03,29.48,27.80,974.47,328.01,27.53,53.16,27.56
18,15223,-1.32,-0.81,10.93,-0.00,0.00,-0.03,29.48,27.80,974.47,327.99,27.54,53.17,27.56
19,15962,-1.31,-0.79,10.94,-0.00,0.00,-0.03,29.51,27.79,974.47,327.98,27.52,53.15,27.56
20,16701,-1.35,-0.80,10.94,-0.00,-0.00,-0.03,29.51,27.79,974.47,327.97,27.52,53.14,27.56
21,17440,-1.34,-0.79,10.97,-0.00,-0.00,-0.03,29.52,27.79,974.47,327.98,27.50,53.15,27.56
22,18179,-1.32,-0.79,10.93,-0.00,-0.00,-0.03,29.55,27.79,974.47,327.98,27.52,53.18,27.56
23,18918,-1.34,-0.80,10.97,-0.00,0.00,-0.03,29.56,27.79,974.47,327.98,27.50,53.15,27.56
